,,,,,,,,,,,,,,,,,
,Animates,,Exalted,,,,,Rational,,,,Monstrous,,,,Irrational,
,Declension,,1,2,3,4,,1,2,3/4,,1,2/3,4,,1,2-4
,Directive,Singular,-ēn,-æn,-ēn,-ħán,,-ēf,-(a)xef,-lef,,-ô,,,,-llūl,-cūl
,,Dual,-(ē)χen,-(y)χen,-(o)χen,-ħóχħon,,-eχef,-hyf,-(o)χef,,-yħq̇ô,-q̇ô,-ûq̇ô,,-(æ)llūl,-(')illūl
,,Plural,-illyn,-ān,-ē'yn,-q̇yn,,-yf,,-'yf,,-ōq̇ô,,,,,
,Recessive,Singular,-oħân,-ħân,-ēqân,-qân,,-oħâf,-ħâf,-(o)qâf,,-oħô,-qâħó,-ô,,-llūl,-qâllūl
,,Dual,-ħân,-(ō)n,-on,-ħûn,,-īllyf,-(')ūllef,-yf,,-ūħó,-q̇ô,-ûq̇ô,,-(y)ll'ūl,-(ī)llūl
,,Plural,-illyrn,-(ō)rn,-ē'yrn,-q̇yrn,,,,-ūlef,,-ōq̇ô,,,,,-(')ūcūl
,,,,,,,,,,,,,,,,,
,,Inanimates,,Magical,,,,Mundane,,,,Abstract,,,,"- suffixes beginning with vowels: suffix vowel overwrites the verb stem vowel, if applicable. If the verb stem vowel was emphatic, the suffix vowel transforms to its emphatic equivalent, if applicable.
- suffixes beginning with consonants in parentheses: consonant only appears on verb stems that end in vowels
- suffixes beginning with vowels in parentheses: vowel only appears on verb stems that end in consonants, unless that consonant is a post-vocalic resonant, in which case the vowel is optional",
,,Declension,,1,2/3,4,,1,2/3,4,,1,2/3,4,,,
,,Directive,Singular,-(ō)χ,-huχ,-q̇ħúχ,,-(e)rk,-tyk,-(á)rk,,-(y)q̇,-(o)q̇,-(ú)ħáq̇,,,
,,,Dual,-uχ,-'ūχ,-(')ūχ,,-ōrk,,-(')urk,,-āq̇,-ōq̇,-ūq̇,,,
,,,Plural,,,,,,,,,,,,,,
,,Recessive,Singular,-(o)ħúχħ,-(y)q̇ħôχ,-q̇ħôχ,,-(o)ħárk,-ħárk,-q̇ħárk,,-aħôq̇,-(y)q̇ħôq̇,-áq̇ħôq̇,,,
,,,Dual,-(a)lluχ,-(y)lūrχ,-(')ūrχ,,-ōrk,,-(')urk,,-āq̇,-ōq̇,-ūq̇,,,
,,,Plural,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,everything below is experimental,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Animates,,Exalted,,,,,Rational,,,,Monstrous,,,,Irrational,
,Declension,,1,2,3,4,,1,2,3/4,,1,2/3,4,,1,2-4
,Directive,Singular,-en,-æn,-en,-ħán,,-ef,-(a)xef,-lef,,-ô,,,,-llūl,-cūl
,,Dual,-(e)χen,-(y)χen,-(o)χen,-ħóχħon,,-eχef,-hyf,-(o)χef,,-(y)ħq̇ô,-q̇ô,-úq̇ô,,-(æ)llūl,-(i)llūl
,,Plural,-illyn,-ān,-ēn,-q̇yn,,-yf,,-'yf,,-oq̇ô,,,,,
,Recessive,Singular,-(o)ħân,-ħân,-eqân,-qân,,-(o)ħâf,-ħâf,-(o)qâf,,-oħô,-(q)áħó,-ô,,-llūl,-(q)állūl
,,Dual,-ħân,-(ō)n,-on,-ħûn,,-īllyf,-(')ūllef,-yf,,-(u)ħó,-q̇ô,-úq̇ô,,-(y)llūl,-(ú)cūl
,,Plural,-illyrn,-(ō)rn,-ērn,-q̇yrn,,,,-ūlef,,-oq̇ô,,,,,
,,,,,,,,,,,,,,,,,
,,Inanimates,,Magical,,,,Mundane,,,,Abstract,,,,"- suffixes beginning with vowels: suffix vowel overwrites the verb stem vowel, if applicable. If the verb stem vowel was emphatic, the suffix vowel transforms to its emphatic equivalent, if applicable.
- suffixes beginning with consonants in parentheses: consonant only appears on verb stems that end in vowels
- suffixes beginning with vowels in parentheses: vowel only appears on verb stems that end in consonants, unless that consonant is a post-vocalic resonant, in which case the vowel is optional",
,,Declension,,1,2/3,4,,1,2/3,4,,1,2/3,4,,,
,,Directive,Singular,-(o)χ,-huχ,-q̇ħúχ,,-(e)rk,-tyk,-(á)rk,,-(y)q̇,-(o)q̇,-ôq̇,,,
,,,Dual,-uχ,-'ūχ,-(')ūχ,,-ōrk,,-(')urk,,-āq̇,-ōq̇,-ūq̇,,,
,,,Plural,,,,,,,,,,,,,,
,,Recessive,Singular,-(ħ)úχħ,-(y)q̇ħôχ,-q̇ħôχ,,-(o)ħárk,-ħárk,-q̇ħárk,,-aħôq̇,-(y)q̇ħôq̇,-(á)q̇ħôq̇,,,
,,,Dual,-(a)lluχ,-(y)lūrχ,-(')ūrχ,,-ōrk,,-(')urk,,-āq̇,-ōq̇,-ūq̇,,,
,,,Plural,,,,,,,,,,,,,,
