Word,POS,Definition,Forms,Usage Notes,
æf,v,"to denounce, to insult; to spit, to spit upon","æfad, āf, āfad",,
æfux,v,"to drool, to salivate; to hunger, to hunger for","æfād, āfux, āfād","- sense ""to hunger for"" takes preposition ō-",
æklôħ (1),adj,"salted, salty; well-seasoned",āklôħ,,
æklū (1),n,"- (mun.) salt
- (a.) saltiness, salinity","(mun., a.)",,
ærχ,v,"to like, to enjoy; (reflexive) to be pleased, satisfied","ærd, N/A, N/A",,
æze-,pp,through,,,
āfu (2),n,"- (mag.) dew
- (mun.) spit, saliva
- (a.) salivation; hunger",(inanimates),,
āfux (2),adj,hungry; salivating,ā'āfux,,
afuχ (3),n,"- (mag.) life cycle, circle of life
- (mun.) wheel
- (a.) cycle, circle",(inanimates),,
ah'ax,v,to avoid; to refrain from; (reflexive) to fast,"ah'axed, āh'ax, āh'axed",,
aħáŋ,v,to return; to try (something) again,"aħáŋad, a'aħáŋ, a'aħáŋad",,
āhk,aux,do not! (prohibitive),defective,- always in the second person,
āk,v,"to reach, to reach for; to stretch","āxad, āhak, āhaxad",,
āklū (1),n,"- (mun.) spice, seasoning
- (a.) taste, flavor","(mun., a.)","- sense ""spice, seasoning"" usually in the plural",
ān,part,optional noun suffix on animate roots to specify feminine,,- rare,
anq̇ulq̇ (2),adj,respectful; humble,anq̇ūlq̇,,
anqχēl (1),adj,"resilient, tough, resistant",ānqχēl (1),,
ārχ,n,"- (i.) flower
- (a.) satisfaction; pleasure","(i., a.)",,
ax,adv,not; negates verbs and regular auxiliaries,N/A,"- Is not used with lur ""to be,"" as both a verb and an auxiliary. Negative copula q̇em is used instead ",
axa (1),n,negativity; negation,(a.),,
axa (2),n,"- (mon.) eyebat; cyclops
- (mag., mun.) eye
- (a.) sight, vision","(mon., mag., mun., a.)",,
āxa (2),n,"- (mon.) beholder
- (i.) arcane eye
- (mag.) anything which bestows truesight
- (a.) truesight, trueseeing","(mon., i., mag., a.)",,
āxaχ (1),n,"- (animates) actor; doer, agent; player
- (mag., mun.) sport, recreation; activity
- (a.) agency; activity",(all),,
axk,v,"to perform, to act; to cast (a spell)","axced, āxk, āxced",,
axk (3),adj,"mechanical; functional, operable",āxk,,
āxk (3),n,"- (mag.) spell
- (mun.) machine, device
- (a.) action; verb",(inanimates),,
aze-,pp,alternative form of æze-,,,
